Date,Time,BTC_Rate_CHF,USD_Rate_CHF,NOVN_Rate_CHF,Equity_Val_CHF,Fiat_Val_CHF,Crypto_Val_CHF,Portfolio_Current_CHF,Portfolio_Basis_CHF,Return_CHF
2026-06-29,11:14:33,48387.08222819710678333,0.8087762652424132,125.26,1252.60,2426.33,4838.71,8517.64,8100.00,417.64
2026-06-29,11:15:04,48400.749026149245848682,0.8087797536509908,125.26,1252.60,2426.34,4840.07,8519.01,8100.00,419.01
2026-07-06,08:13:27,50741.9615107655310934125,0.8050122291728475,127.92,1279.20,2415.04,5074.20,8768.43,8100.00,668.43
2026-07-06,08:17:00,50768.4759678441228467925,0.8052010214931705,127.92,1279.20,2415.60,5076.85,8771.65,8100.00,671.65
2026-07-06,09:02:58,50639.34659961290214758,0.805764386132764,127.92,1279.20,2417.29,5063.93,8760.43,8100.00,660.43
